82443593;81187233; BOSS ORANGE MAN EDT   ;100;18;64,00;80,00   ;737052347974
81187199;81187199; BOSS ORANGE MAN AFTER SHAVE LOTION ;100;;46,40;58,00   ;737052347837
82428730;9111;BOSS IN MOTION EDT        ;90;15;56,80;71,00   ;737052852034
82451278;9000; BOSS SELECTION EDT  ;90;21;60,80;76,00   ;737052006468
82452454;9180;PURE FOR MAN EDT ***;75;27;60,00;75,00   ;737052145679
82425271;9290;BOSS SOUL EDT  ;90;30;60,00;75,00   ;737052373034
82451269;9020; BOSS Nø1 EDT             ;125;21;60,80;76,00   ;4084500357150
82455728;82455728;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;30;24;33,60;42,00   ;730870124475
82455729;82455729;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;50;36;44,80;56,00   ;730870124512
82455730;82455730;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;90;12;61,60;77,00   ;730870124550
82455722;82455722;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT;30;24;33,60;42,00   ;730870124260
82455723;82455723;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT ;50;36;44,80;56,00   ;730870124222
82455724;82455724;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT ;90;12;61,60;77,00   ;730870124277
82455725;82455725;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;30;24;33,60;42,00   ;730870124352
82463712;82455726;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;50;36;44,80;56,00   ;730870124390
82455727;82455727;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;90;27;61,60;77,00   ;730870124437
82428210;82428210;EAU DE LACOSTE FEMME EDP;90;24;66,40;83,00   ;737052539119
82439878;82439878;EAU DE LACOSTE SENSUELLE EDP;50;33;49,60;62,00   ;737052732893
82451775;82439879;EAU DE LACOSTE SENSUELLE EDP;90;24;66,40;83,00   ;737052732930
82459823;107021;TOUCH OF PINK EDT ;50;45;48,00;60,00   ;737052191331
82444990;107020;TOUCH OF PINK EDT  ;90;30;62,40;78,00   ;737052191324
82447173;82430557;POUR FEMME EDP;50;36;49,60;62,00   ;737052949178
82430591;107100;POUR FEMME EDP;90;30;66,40;83,00   ;737052949215
82442816;PG82442816;LACOSTE L!VE MALE  EDT  ;40;24;34,40;43,00;737052779720
82442817;82442817;LACOSTE L!VE MALE  EDT  ;100;18;60,00;75,00;737052780382
82442821;82442821;LACOSTE L!VE MALE DEO STICK  ;75;;18,40;23,00;737052779935
82459157;82459157;LACOSTE EAU L.12.12 ENERGIZED EDT ;100;;60,00;75,00   ;730870188071
82448885;82448885;L12.12 JAUNE EDT VAPO;50;45;44,00;55,00;737052896267
82447355;82447355;L12.12 JAUNE EDT VAPO;100;24;60,00;75,00   ;737052866888
82464355;82448880; L 12 12 NOIR EDT  ;50;24;44,00;55,00;737052896106
82460327;82435779; L 12 12 NOIR EDT  ;100;20;60,00;75,00   ;737052662664
82448892;82448892; L.12.12 ROUGE EDT ;50;24;44,00;55,00;737052896519
82427095;82427095; L12.12 ROUGE EDT  ;100;20;60,00;75,00   ;737052517667
82448875;82448875;L.12.12 BLANC EDT ;50;24;44,00;55,00;737052895956
82460019;82419427; L.12.12 BLANC EDT ;100;20;60,00;75,00   ;737052413174
82450950;81127575;LACOSTE CHALLENGE EDT ;90;24;56,00;70,00   ;737052248097
82423152;82423152;CHALLENGE REFRESH  DEO STICK ;75;;17,60;22,00   ;737052466989
80948323;107041;ESSENTIAL EDT;75;30;46,40;58,00   ;737052483238
80948321;107040;ESSENTIAL EDT;125;24;60,80;76,00   ;737052483214
81091146;107070;BOOSTER EDT  ;125;24;56,00;70,00   ;3355800001793
82451331;107061;ORIGINAL EDT  ;50;36;44,00;55,00   ;3355800000017
82464357;107060;ORIGINAL EDT  ;100;18;60,00;75,00   ;3355800000031
80989242;107091;POUR HOMME EDT  ;50;36;44,00;55,00   ;737052892429
80989241;107090;POUR HOMME EDT  ;100;27;60,00;75,00   ;737052892412
82418894;107001;RED EDT  ;75;27;46,40;58,00   ;737052074757
82451334;107000;RED EDT  ;125;24;60,80;76,00   ;737052074740
82462388;82462388;ESCADA FIESTA CARIOCA EDT ;50;;45,60;57,00   ;730870229033
82462389;82462389;ESCADA FIESTA CARIOCA EDT ;100;;58,40;73,00   ;730870229071
82455910;82455910;ESCADA AGUA DEL SOL EDT VAPO ***;100;30;58,40;73,00   ;730870128244
82442750;82442750;ESCADA JOYFUL EDP  ;50;36;58,40;73,00;737052778303
82442751;82442751;ESCADA JOYFUL EDP  ;75;27;76,00;95,00;737052778341
82420728;82420728;ESPECIALLY ESCADA EDP;30;21;41,60;52,00   ;737052429977
82450943;82420729;ESPECIALLY ESCADA EDP;50;21;58,40;73,00   ;737052430515
82450945;82420730;ESPECIALLY ESCADA EDP;75;36;76,00;95,00   ;737052430546
82437006;PG82437006;ESCADA ESPECIALLY ELIXIR EDP ;30;36;41,60;52,00   ;737052684833
82437008;82437008;ESCADA ESPECIALLY ELIXIR EDP  ;50;21;58,40;73,00   ;737052684871
82437009;82437009;ESCADA ESPECIALLY ELIXIR EDP  ;75;21;76,00;95,00   ;737052684956
82432252;440;MAGNETISM EDP ;50;36;50,40;63,00   ;3393670000034
82432251;441;MAGNETISM EDP ;75;24;64,00;80,00   ;3393670000027
